date,close,code,name,return
2019-09-11,475.63,000063.SZ,中兴通讯,-0.039513399474064154
2019-09-12,479.28,000063.SZ,中兴通讯,0.007644736731400733
2019-09-16,473.41,000063.SZ,中兴通讯,-0.012323157133507458
2019-09-17,461.81,000063.SZ,中兴通讯,-0.024808269560377617
2019-09-18,456.85,000063.SZ,中兴通讯,-0.010798441637154616
2019-09-19,469.63,000063.SZ,中兴通讯,0.027590041185480287
2019-09-20,461.81,000063.SZ,中兴通讯,-0.016791599548325625
2019-09-23,452.54,000063.SZ,中兴通讯,-0.020277394058602606
2019-09-24,463.5,000063.SZ,中兴通讯,0.023930227982728206
2019-09-25,455.02,000063.SZ,中兴通讯,-0.01846501097704204
2019-09-26,438.46,000063.SZ,中兴通讯,-0.037072786445848695
2019-09-27,446.15,000063.SZ,中兴通讯,0.017386630763141307
2019-09-30,430.63,000063.SZ,中兴通讯,-0.03540596561516597
2019-10-08,428.02,000063.SZ,中兴通讯,-0.0060793292689994985
2019-10-09,432.46,000063.SZ,中兴通讯,0.01031991308375392
2019-10-10,441.85,000063.SZ,中兴通讯,0.021480621418264526
2019-10-11,442.24,000063.SZ,中兴通讯,0.0008822631752368723
2019-10-14,443.02,000063.SZ,中兴通讯,0.0017621946136647945
2019-10-15,431.15,000063.SZ,中兴通讯,-0.02715885835458171
2019-10-16,430.63,000063.SZ,中兴通讯,-0.001206804667338973
2019-10-17,432.59,000063.SZ,中兴通讯,0.0045411444782504735
2019-10-18,437.42,000063.SZ,中兴通讯,0.011103434725161305
2019-10-21,430.24,000063.SZ,中兴通讯,-0.0165506394138518
2019-10-22,432.59,000063.SZ,中兴通讯,0.005447204688690522
2019-10-23,434.68,000063.SZ,中兴通讯,0.004819730985405882
2019-10-24,433.11,000063.SZ,中兴通讯,-0.0036183908848178934
2019-10-25,448.11,000063.SZ,中兴通讯,0.03404700068047787
2019-10-28,451.89,000063.SZ,中兴通讯,0.008400049392522762
2019-10-29,453.2,000063.SZ,中兴通讯,0.002894741771017837
2019-10-30,446.55,000063.SZ,中兴通讯,-0.014782153023956145
2019-10-31,448.76,000063.SZ,中兴通讯,0.004936847546868722
2019-11-01,456.59,000063.SZ,中兴通讯,0.017297609171654325
2019-11-04,462.85,000063.SZ,中兴通讯,0.013617194664802115
2019-11-05,459.72,000063.SZ,中兴通讯,-0.006785419012662295
2019-11-06,446.41,000063.SZ,中兴通讯,-0.029379796250673395
2019-11-07,447.85,000063.SZ,中兴通讯,0.0032205426713198112
2019-11-08,441.59,000063.SZ,中兴通讯,-0.014076505142255325
2019-11-11,435.33,000063.SZ,中兴通讯,-0.014277485607837873
2019-11-12,436.89,000063.SZ,中兴通讯,0.003577082991487504
2019-11-13,437.81,000063.SZ,中兴通讯,0.0021035791454292623
2019-11-14,440.55,000063.SZ,中兴通讯,0.006238920004710852
2019-11-15,421.89,000063.SZ,中兴通讯,-0.043279329762472736
2019-11-18,422.16,000063.SZ,中兴通讯,0.000639772547146541
2019-11-19,429.07,000063.SZ,中兴通讯,0.01623568668297147
2019-11-20,422.16,000063.SZ,中兴通讯,-0.016235686682971515
2019-11-21,418.63,000063.SZ,中兴通讯,-0.008396914190531216
2019-11-22,413.55,000063.SZ,中兴通讯,-0.012209048768965718
2019-11-25,409.76,000063.SZ,中兴通讯,-0.009206803686700326
2019-11-26,409.63,000063.SZ,中兴通讯,-0.0003173092204951462
2019-11-27,410.42,000063.SZ,中兴通讯,0.0019267123818984186
2019-11-28,412.89,000063.SZ,中兴通讯,0.006000188046932485
2019-11-29,413.68,000063.SZ,中兴通讯,0.0019115144284153002
2019-12-02,411.85,000063.SZ,中兴通讯,-0.00443352270070823
2019-12-03,413.16,000063.SZ,中兴通讯,0.003175721751175012
2019-12-04,419.81,000063.SZ,中兴通讯,0.01596730083146708
2019-12-05,429.85,000063.SZ,中兴通讯,0.023634082650553223
2019-12-06,429.33,000063.SZ,中兴通讯,-0.0012104566295590374
2019-12-09,425.29,000063.SZ,中兴通讯,-0.009454564822220658
2019-12-10,431.55,000063.SZ,中兴通讯,0.014612089496993184
2019-12-11,428.55,000063.SZ,中兴通讯,-0.006975961320774831
2019-12-12,441.59,000063.SZ,中兴通讯,0.029974432434057237
2019-12-13,446.15,000063.SZ,中兴通讯,0.010273368567211422
2019-12-16,450.72,000063.SZ,中兴通讯,0.010191085781902223
2019-12-17,451.24,000063.SZ,中兴通讯,0.0011530446086570644
2019-12-18,459.85,000063.SZ,中兴通讯,0.018901000611986966
2019-12-19,462.98,000063.SZ,中兴通讯,0.006783507260253302
2019-12-20,448.37,000063.SZ,中兴通讯,-0.032065072198673786
2019-12-23,433.89,000063.SZ,中兴通讯,-0.03282773865653602
2019-12-24,445.11,000063.SZ,中兴通讯,0.02553039687706174
2019-12-25,453.33,000063.SZ,中兴通讯,0.018298894462966404
2019-12-26,455.28,000063.SZ,中兴通讯,0.004292277201089798
2019-12-27,451.89,000063.SZ,中兴通讯,-0.007473826912034935
2019-12-30,461.15,000063.SZ,中兴通讯,0.02028458229889437
2019-12-31,474.72,000063.SZ,中兴通讯,0.029001786860783973
2020-01-02,475.5,000063.SZ,中兴通讯,0.001641725442933372
2020-01-03,489.85,000063.SZ,中兴通讯,0.0297323398052064
2020-01-06,491.8,000063.SZ,中兴通讯,0.003972907991440912
2020-01-07,490.5,000063.SZ,中兴通讯,-0.002646850776674409
2020-01-08,478.89,000063.SZ,中兴通讯,-0.02395435306092048
2020-01-09,495.98,000063.SZ,中兴通讯,0.035064677386807915
2020-01-10,500.41,000063.SZ,中兴通讯,0.008892159074562929
2020-01-13,508.24,000063.SZ,中兴通讯,0.015526014552409656
2020-01-14,491.93,000063.SZ,中兴通讯,-0.03261734701098424
2020-01-15,494.67,000063.SZ,中兴通讯,0.005554443633693056
2020-01-16,501.06,000063.SZ,中兴通讯,0.01283498081220651
2020-01-17,519.72,000063.SZ,中兴通讯,0.03656435062134258
2020-01-20,535.63,000063.SZ,中兴通讯,0.030153419183086942
2020-01-21,516.72,000063.SZ,中兴通讯,-0.03594248247340528
2020-01-22,543.32,000063.SZ,中兴通讯,0.05019732323007286
2020-01-23,524.02,000063.SZ,中兴通讯,-0.036168613422693875
2020-02-03,481.5,000063.SZ,中兴通讯,-0.08462362029341597
2020-02-04,513.59,000063.SZ,中兴通讯,0.06451905054303603
2020-02-05,511.37,000063.SZ,中兴通讯,-0.004331883139952873
2020-02-06,524.67,000063.SZ,中兴通讯,0.025676094887946074
2020-02-07,520.89,000063.SZ,中兴通讯,-0.007230606505053337
2020-02-10,536.41,000063.SZ,中兴通讯,0.02935990701347008
2020-02-11,534.98,000063.SZ,中兴通讯,-0.002669431017958073
2020-02-12,536.67,000063.SZ,中兴通讯,0.0031540174515656424
2020-02-13,531.06,000063.SZ,中兴通讯,-0.010508371262393346
2020-02-14,527.93,000063.SZ,中兴通讯,-0.005911310049097402
2020-02-17,575.54,000063.SZ,中兴通讯,0.08634503136530262
2020-02-18,580.89,000063.SZ,中兴通讯,0.009252679658371007
2020-02-19,582.84,000063.SZ,中兴通讯,0.0033512959622372155
2020-02-20,594.71,000063.SZ,中兴通讯,0.020161185626461985
2020-02-21,607.23,000063.SZ,中兴通讯,0.02083374020343771
2020-02-24,666.71,000063.SZ,中兴通讯,0.09344753678601088
2020-02-25,731.92,000063.SZ,中兴通讯,0.09331604960971548
2020-02-26,677.66,000063.SZ,中兴通讯,-0.07702553113774102
2020-02-27,684.58,000063.SZ,中兴通讯,0.010159824296161456
2020-02-28,665.27,000063.SZ,中兴通讯,-0.02861253823805398
2020-03-02,725.27,000063.SZ,中兴通讯,0.08635102602732737
2020-03-03,703.62,000063.SZ,中兴通讯,-0.030305561617945512
2020-03-04,683.01,000063.SZ,中兴通讯,-0.029728936948987296
2020-03-05,690.18,000063.SZ,中兴通讯,0.010442932383933139
2020-03-06,676.49,000063.SZ,中兴通讯,-0.020034767600386933
2020-03-09,678.45,000063.SZ,中兴通讯,0.002893119056374961
2020-03-10,719.53,000063.SZ,中兴通讯,0.058787436488182
2020-03-11,697.62,000063.SZ,中兴通讯,-0.030923679171572103
2020-03-12,683.79,000063.SZ,中兴通讯,-0.020023688969415882
2020-03-13,675.58,000063.SZ,中兴通讯,-0.012079271759269058
2020-03-16,609.32,000063.SZ,中兴通讯,-0.10322799991138658
2020-03-17,555.06,000063.SZ,中兴通讯,-0.09326736525721825
2020-03-18,523.11,000063.SZ,中兴通讯,-0.0592844490137701
2020-03-19,557.67,000063.SZ,中兴通讯,0.06397562258965028
2020-03-20,559.37,000063.SZ,中兴通讯,0.003043760854522394
2020-03-23,545.67,000063.SZ,中兴通讯,-0.024796753021826136
2020-03-24,568.1,000063.SZ,中兴通讯,0.04028306214322254
2020-03-25,598.1,000063.SZ,中兴通讯,0.05146050448743016
2020-03-26,575.28,000063.SZ,中兴通讯,-0.03890108525627281
2020-03-27,579.06,000063.SZ,中兴通讯,0.0065492203528610335
2020-03-30,570.58,000063.SZ,中兴通讯,-0.014752711805688663
2020-03-31,571.36,000063.SZ,中兴通讯,0.0013660965047274012
2020-04-01,554.15,000063.SZ,中兴通讯,-0.03058407562447632
2020-04-02,570.06,000063.SZ,中兴通讯,0.028306210225050987
2020-04-03,547.5,000063.SZ,中兴通讯,-0.04037915675605709
2020-04-07,557.02,000063.SZ,中兴通讯,0.017238684234728918
2020-04-08,549.58,000063.SZ,中兴通讯,-0.013446795781273242
2020-04-09,549.45,000063.SZ,中兴通讯,-0.00023657225117840742
2020-04-10,525.58,000063.SZ,中兴通讯,-0.044415363196899024
2020-04-13,515.28,000063.SZ,中兴通讯,-0.019791972457398884
2020-04-14,528.71,000063.SZ,中兴通讯,0.025729635142034746
2020-04-15,528.19,000063.SZ,中兴通讯,-0.0009840099194977714
2020-04-16,524.41,000063.SZ,中兴通讯,-0.007182246340784342
2020-04-17,534.84,000063.SZ,中兴通讯,0.01969381562607702
2020-04-20,543.97,000063.SZ,中兴通讯,0.016926461529999274
2020-04-21,539.8,000063.SZ,中兴通讯,-0.0076953976925600255
2020-04-22,542.67,000063.SZ,中兴通讯,0.0053026997977491325
2020-04-23,534.45,000063.SZ,中兴通讯,-0.01526321966169841
2020-04-24,519.85,000063.SZ,中兴通讯,-0.02769787229597561
2020-04-27,519.85,000063.SZ,中兴通讯,0.0
2020-04-28,523.89,000063.SZ,中兴通讯,0.007741430195884141
2020-04-29,518.41,000063.SZ,中兴通讯,-0.010515303644393908
